  H	>	-	<	d	s	name
  1	1	0	0	0	0	.htmlTC
  1	1	0	0	0	0	.htmlTR
  1	1	0	0	0	0	.javaTR
  1	1	0	0	0	0	.jsTR
  1	1	0	0	0	0	.plTR
  1	1	0	0	0	0	.shTR
  1	1	0	0	0	0	.tru
  1	1	0	0	0	0	.vimTR
  1	1	0	0	0	1	2bin
  1	0	1	0	0	0	2binHelper
  1	1	0	0	0	1	2ok
  1	1	0	0	0	1	2struxbin
  1	1	0	0	0	0	DOC
  0	0	0	0	0	1	EMPTY
  1	1	0	0	0	1	build
  1	0	0	0	1	1	comment
  0	0	0	0	0	1	doc
  1	1	0	0	0	2	file
  1	1	0	0	0	1	goal
  0	0	0	0	0	1	helpers
  1	1	0	0	0	0	htmldefault
  0	0	0	0	0	1	ignored
  1	1	0	1	0	1	install
  1	1	0	0	0	1	installrule
  1	0	0	0	0	0	mark_install
  1	0	0	0	0	0	mark_test
  1	1	0	0	1	1	shdefault
  1	1	0	0	2	3	statement
  1	1	0	1	0	1	test
  1	1	0	0	1	1	title
  1	1	0	0	1	1	trudefault
  1	1	0	0	1	1	vimdefault
