  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	1	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	1	0	1	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	1	For
  1	1	0	0	1	1	M
  2	2	1	1	2	1	Option
  2	1	0	0	2	2	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  1	1	0	0	1	1	RangeFor
  2	1	0	1	2	1	S
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	1	3	1	W
  0	0	0	0	0	1	[]
  1	1	0	1	1	3	autodoc
  1	0	0	0	1	1	block
  1	1	0	0	1	1	cType
  2	0	1	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	0	1	1	comment
  1	1	0	0	1	1	compiler directive
  2	1	0	1	2	1	default
  1	0	0	0	1	1	defines
  1	1	0	0	1	1	definition line
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  2	1	0	1	2	1	enum
  2	1	0	0	2	1	enumline
  3	1	0	0	3	1	fancyFor
  2	1	0	0	2	1	finally
  1	1	0	1	1	1	function
  1	1	0	1	1	1	hide
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  1	1	0	1	1	1	includes
  2	1	0	0	2	1	initialisation
  1	1	0	0	1	0	introcomment
  3	2	0	1	3	1	jdoc
  2	2	0	0	2	7	jdocu
  1	1	0	0	1	4	jdtag
  1	0	0	0	1	1	left
  1	1	0	0	1	1	linkage
  1	1	0	0	1	1	magic
  1	1	1	0	1	1	main
  1	1	0	1	1	1	memberfunction
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	0	1	1	1	1	name
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  2	1	0	0	2	1	opt
  2	2	0	0	2	1	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	1	0	0	1	1	owninc
  1	1	0	0	1	0	prototype
  1	1	0	0	1	1	repeatedLine
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  3	1	2	0	3	1	statement
  1	1	0	0	1	1	sysinc
  3	1	0	1	3	1	try
  1	1	0	0	1	1	types
  2	1	0	1	2	1	usage
  2	1	0	0	2	1	usageline
  1	1	0	0	1	1	using
  1	1	0	0	1	1	usingline
  2	0	1	1	2	1	var
  2	1	0	1	2	1	vars
