  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	1	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	1	0	0	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	2	For
  1	1	0	0	1	0	GenerateDebugInfo
  1	1	0	0	1	1	Gui
  1	1	0	0	1	1	JSplitPane[:name]
  1	1	0	0	1	1	JTabbedPane[:name]
  1	1	0	0	1	1	LabeledLoop
  1	1	0	0	1	1	M
  2	1	1	1	2	1	Option
  2	1	0	0	2	2	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  2	1	0	1	2	1	S
  1	1	0	1	1	2	SELECT
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	1	3	1	W
  0	0	0	0	0	1	[]
  1	1	0	0	1	1	abstractfunction
  1	1	0	1	1	1	adder
  1	0	1	1	1	1	annotation
  1	1	0	0	1	1	annotationElement
  1	1	0	0	1	1	anyComponent[:name]
  1	1	0	1	1	5	autodoc
  1	0	0	0	1	1	block
  2	0	1	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	1	1	2	class
  1	1	0	0	1	1	comment
  1	1	0	0	1	1	cursor using
  2	1	0	1	2	1	default
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	0	1	1	element
  1	1	0	1	1	2	else
  2	1	0	1	2	1	enum
  2	1	0	0	2	1	enumline
  3	1	0	0	3	1	fancyFor
  1	1	0	0	1	2	field
  2	1	0	0	2	1	finally
  1	1	1	1	1	2	function
  1	1	0	0	1	1	functionSignature
  1	1	0	1	1	1	hide
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  1	1	0	0	1	1	import
  1	0	0	0	1	1	imports
  2	1	0	0	2	1	initialisation
  1	1	0	1	1	2	into
  1	1	0	0	1	0	introcomment
  3	2	0	1	3	1	jdoc
  2	2	0	0	2	11	jdocu
  1	1	0	0	1	6	jdtag
  1	0	0	0	1	1	left
  1	1	0	1	1	1	listeners
  1	1	0	0	1	1	loop
  1	1	0	0	1	1	magic
  1	1	0	1	1	1	main
  1	1	0	1	1	1	menu
  1	1	0	1	1	1	menuBar
  1	1	0	0	1	1	menuItem
  1	1	0	0	1	1	menuItemWithActionListener
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  1	1	0	0	1	2	object
  2	1	0	0	2	1	opt
  2	2	0	0	2	1	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	1	0	0	1	1	package
  1	1	0	0	1	1	repeatedLine
  1	1	0	1	1	0	setThem
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  1	1	0	0	1	2	sqlstatement
  3	1	2	0	3	1	statement
  1	1	0	1	1	1	static
  1	1	0	1	1	1	synchronized
  1	1	0	0	1	1	tabName
  3	1	0	1	3	1	try
  2	1	0	1	2	2	usage
  2	1	0	0	2	2	usageline
  1	1	0	1	1	1	using
  2	0	1	1	2	1	var
  2	1	0	1	2	1	vars
