  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	5	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	1	0	0	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	1	For
  1	1	0	1	1	1	IIFE
  1	1	0	0	1	1	M
  1	1	0	0	1	0	Option
  1	0	0	0	1	0	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  1	1	0	0	1	1	RangeFor
  2	1	0	1	2	1	S
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	1	3	1	W
  0	0	0	0	0	1	[]
  1	0	1	0	1	4	arrayelem
  1	1	0	1	1	15	autodoc
  1	0	0	0	1	1	block
  2	0	1	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	1	1	1	class
  1	1	0	0	1	1	comment
  2	1	0	1	2	1	default
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  2	1	0	1	2	0	enum
  2	1	0	0	2	0	enumline
  3	1	0	0	3	1	fancyFor
  2	1	0	0	2	1	finally
  1	1	0	1	1	2	fproperty
  1	1	1	1	1	5	function
  1	1	0	1	1	3	get
  1	1	0	1	1	1	hide
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  2	1	0	0	2	0	initialisation
  1	1	0	0	1	0	introcomment
  3	2	0	1	3	1	jdoc
  2	2	0	0	2	31	jdocu
  1	1	0	0	1	16	jdtag
  1	0	0	0	1	1	left
  1	1	0	0	1	1	magic
  1	1	0	1	1	1	method
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  1	0	0	0	1	0	opt
  1	1	0	0	1	0	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	0	1	0	1	2	property
  1	1	0	0	1	1	repeatedLine
  1	1	0	1	1	3	set
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  3	1	2	0	3	1	statement
  1	1	0	1	1	1	static
  1	1	0	0	1	1	staticMethod
  3	1	0	1	3	1	try
  1	0	0	0	1	1	usage
  1	0	0	0	1	1	usageline
  2	1	0	0	2	1	var
  2	1	0	1	2	1	vars
  1	1	0	1	1	20	wantListOrObject
