  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	4	2continue
  1	1	0	0	1	0	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	1	0	0	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	1	For
  1	1	0	0	1	1	M
  2	2	0	1	2	1	Option
  2	1	0	0	2	2	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  2	1	0	1	2	1	S
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	0	3	1	W
  0	0	0	0	0	1	[]
  1	1	0	1	1	2	autodoc
  1	0	0	0	1	1	block
  2	1	0	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	0	1	1	class
  1	1	0	0	1	1	comment
  1	1	0	0	1	1	def
  1	1	0	0	1	1	def name
  2	1	0	1	2	1	default
  1	1	1	0	1	1	defs
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  1	1	0	0	1	1	else in try
  1	1	0	0	1	1	ending in :
  2	1	0	0	2	2	enum
  2	1	0	0	2	1	enumline
  3	2	0	0	3	1	fancyFor
  2	1	0	0	2	1	finally
  1	1	0	1	1	1	hide
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  1	0	0	0	1	0	initialisation
  1	1	0	0	1	0	introcomment
  2	2	0	1	2	1	jdoc
  2	2	0	0	2	5	jdocu
  1	1	0	0	1	3	jdtag
  1	0	0	0	1	1	left
  1	0	1	0	1	4	listelem
  1	1	0	0	1	1	magic
  1	0	0	0	0	0	mark_optiontext
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  2	1	1	1	2	1	opt
  2	2	1	1	2	1	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	0	1	0	1	2	property
  1	1	0	0	2	1	pyFor
  1	1	0	0	1	1	repeatedLine
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	0	1	0	simple_if
  2	1	1	1	2	1	statement
  1	0	1	0	1	1	statementContinuation
  2	1	0	1	2	1	try
  2	1	0	1	2	1	usage
  2	1	0	0	2	1	usageline
  2	1	0	0	2	1	var
  2	1	0	1	2	1	vars
  1	1	0	1	1	24	wantCompound
