  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	1	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	0	1	1	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	2	For
  1	1	0	0	1	1	M
  2	1	1	1	2	1	Option
  2	1	0	0	2	2	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  2	1	0	1	2	1	S
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  2	1	0	1	2	1	U
  2	1	0	0	2	1	VERSION
  2	1	0	1	2	1	W
  1	1	0	1	1	2	autodoc
  1	0	0	0	1	0	block
  2	1	0	1	2	1	case
  1	0	0	0	1	0	catch
  1	1	0	0	1	1	comment
  1	0	0	0	1	1	commentedLine
  1	1	0	0	1	0	continueComment
  1	1	0	0	1	1	continueLine
  1	1	0	0	1	1	continueLineWithSpace
  1	1	0	1	1	1	continued
  2	1	0	1	2	1	default
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  2	1	0	0	2	1	enum
  2	1	0	0	2	1	enumline
  3	1	0	0	3	1	fancyFor
  1	0	0	0	1	0	finally
  1	1	0	1	1	1	function
  1	1	0	1	1	1	global code
  1	1	0	1	1	1	hide
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  2	1	0	0	2	1	initialisation
  1	1	0	0	1	0	introcomment
  2	2	0	0	2	1	jdoc
  2	2	0	0	2	5	jdocu
  1	1	0	0	1	3	jdtag
  1	0	0	0	1	1	left
  1	1	0	0	1	1	magic
  1	1	0	0	1	1	main
  1	0	0	0	0	0	mark_usage
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  2	1	0	0	2	1	opt
  2	2	0	0	2	1	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	1	0	0	1	1	repeatedLine
  1	1	0	1	1	1	secured
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  2	1	1	0	2	1	statement
  1	0	0	0	1	0	try
  2	1	0	1	2	1	usage
  2	1	0	0	2	1	usageline
  2	0	1	1	2	1	var
  2	1	0	1	2	1	vars
