  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  2	2	0	0	1	5	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	0	1	1	Cmd
  1	1	0	1	1	1	D
  2	1	0	0	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	Example :
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	1	For
  1	1	0	1	1	0	HasMapTo
  1	1	0	0	1	2	Interactive
  1	1	0	1	1	1	Interface
  1	1	0	0	1	1	M
  1	1	0	0	1	1	MultiLineMapping
  2	2	0	1	2	1	Option
  2	1	0	0	2	2	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  2	1	0	1	2	1	S
  1	1	0	0	1	1	See also :
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	1	3	1	W
  0	0	0	0	0	1	[]
  1	1	0	1	1	1	ab
  1	1	0	0	1	1	also
  1	0	1	0	1	4	arrayelem
  1	0	0	1	1	1	au
  1	1	0	1	1	3	autodoc
  1	0	0	0	1	1	block
  2	1	0	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	0	1	1	cmd
  1	1	0	1	1	1	com
  1	1	0	0	1	1	comment
  2	1	0	1	2	1	default
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  2	1	0	0	2	1	enum
  2	1	0	0	2	1	enumline
  1	1	0	1	1	1	event
  1	1	0	0	1	1	exampleDesc
  1	1	0	0	1	1	exampleLine
  3	1	0	0	3	1	fancyFor
  2	1	0	0	2	1	finally
  1	1	0	1	1	2	function
  1	1	0	1	1	1	global code
  1	1	0	1	1	1	help
  1	1	0	1	1	1	hide
  1	1	0	1	1	1	highlight
  1	1	0	0	1	1	hlitem
  1	0	0	1	1	0	ifout
  1	0	0	0	1	1	ignored
  2	0	1	0	2	1	initialisation
  1	1	0	0	1	0	introcomment
  2	2	0	0	2	1	jdoc
  2	2	0	0	2	7	jdocu
  1	1	0	0	1	4	jdtag
  1	0	0	0	1	1	left
  1	1	0	0	1	3	longhelp
  1	1	0	0	1	1	magic
  1	1	0	1	1	1	main
  1	1	0	1	1	1	mapping
  1	0	0	0	0	0	mark_com
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	0	1	2	mlreplacement
  1	1	0	1	1	1	mlshortcut
  1	1	0	0	1	1	mmap
  1	1	0	0	1	1	more at
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	1	1	1	nativeFor
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	1	1	1	normal
  1	1	0	0	1	1	o
  2	1	1	1	2	1	opt
  2	2	1	1	2	1	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	1	0	1	1	1	pattern
  1	1	0	1	1	1	perl
  1	1	0	0	1	1	perll
  1	0	1	0	1	2	property
  1	1	0	0	1	1	repeatedLine
  1	1	0	0	1	1	sequence
  1	1	0	1	1	1	set
  1	1	0	0	1	1	setting
  1	1	0	0	1	1	shortcut
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  1	1	0	1	1	1	smap
  2	1	1	0	2	1	statement
  2	1	0	1	2	1	try
  2	1	0	1	2	1	usage
  2	1	0	0	2	1	usageline
  2	0	1	1	2	1	var
  2	1	0	1	2	1	vars
  1	1	0	0	1	1	viminput
  1	1	0	1	1	20	wantListOrObject
