  H	>	-	<	d	s	name
  1	1	0	0	1	1	!
  1	1	0	0	1	1	!-
  1	1	0	0	1	5	2continue
  1	1	0	0	1	2	2copy
  1	1	0	0	1	1	?
  1	1	0	1	1	1	?-
  1	1	0	1	1	1	??
  1	1	0	1	1	1	??*
  1	1	0	1	1	1	D
  2	1	1	1	2	0	DOC
  1	0	0	0	1	1	EMPTY
  1	1	0	0	1	1	FOREVER
  2	1	0	1	2	1	For
  1	1	0	1	1	1	IIFE
  1	1	0	0	1	1	M
  1	1	0	0	1	0	Option
  1	0	0	0	1	0	Optiondescription
  1	1	0	0	1	1	P!line
  1	1	0	1	1	1	P[<]![planname]
  1	1	0	1	1	1	R
  1	1	0	0	1	1	RangeFor
  2	1	0	1	2	1	S
  1	1	0	1	1	1	T
  1	1	0	1	1	1	TAB
  1	1	0	0	1	2	TABline
  1	1	0	0	1	1	Titem
  3	1	0	1	3	1	U
  2	1	0	0	2	1	VERSION
  3	1	0	1	3	1	W
  0	0	0	0	0	1	[]
  1	0	1	0	1	4	arrayelem
  1	1	0	0	1	1	artline
  1	1	0	0	1	1	ascii-art
  1	1	0	1	1	15	autodoc
  1	0	0	0	1	1	block
  2	0	1	1	2	1	case
  2	1	0	0	2	1	catch
  1	1	0	1	1	1	class
  1	1	0	0	1	1	code
  2	2	0	0	2	1	coderow
  1	1	0	0	1	1	comment
  2	1	0	1	2	1	default
  2	2	0	1	2	1	defitem
  1	1	1	1	1	1	doc
  1	1	0	0	1	1	docu
  1	1	0	1	1	2	else
  2	2	0	0	2	1	emptyfreetextline
  2	1	0	1	2	0	enum
  1	1	1	1	1	1	enumitem
  2	1	0	0	2	0	enumline
  3	1	0	0	3	1	fancyFor
  2	1	0	0	2	1	finally
  1	1	0	1	1	2	fproperty
  2	1	1	0	2	1	freetextOrSection
  1	1	1	1	1	5	function
  1	1	0	1	1	3	get
  1	1	0	1	1	1	hide
  1	1	0	0	1	1	html code
  1	0	0	1	1	0	ifout
  1	1	0	0	1	2	ignore
  2	1	0	0	2	2	ignored
  2	1	0	0	2	0	initialisation
  1	1	0	0	1	0	introcomment
  1	1	0	1	0	1	javascript
  3	2	0	1	3	1	jdoc
  2	2	0	0	2	31	jdocu
  1	1	0	0	1	16	jdtag
  2	2	0	0	2	1	label
  1	0	0	0	1	1	left
  1	1	1	1	1	1	listline
  1	1	0	0	1	1	magic
  1	1	0	1	1	1	meta
  2	2	0	0	2	1	metaname
  1	1	0	1	1	1	method
  1	1	0	0	1	1	middlepart
  1	1	0	0	1	1	middlepart_any
  1	1	0	1	1	1	native code
  1	1	0	0	1	1	nativeCodeLine
  1	1	0	0	1	1	nativeLangCode
  1	1	0	0	1	0	negate
  2	1	0	0	2	2	nobreak
  1	1	0	0	1	1	o
  1	0	0	0	1	0	opt
  1	1	0	0	1	0	opt:type[default]
  1	1	0	0	1	0	optcommon
  1	1	0	0	1	1	other code
  1	1	0	1	1	1	picture
  1	0	1	0	1	2	property
  1	1	0	0	1	1	repeatedLine
  2	2	0	1	1	0	section
  1	1	0	1	1	3	set
  1	1	0	0	1	0	simple_else
  1	1	0	0	1	0	simple_elseif
  1	1	0	1	1	0	simple_if
  3	1	2	0	3	1	statement
  1	1	0	1	1	1	static
  1	1	0	0	1	1	staticMethod
  2	1	0	1	1	1	style
  1	1	0	1	1	5	style_controlled
  1	1	0	0	1	3	style_controlled_simple
  1	1	0	0	1	1	stylecomment
  1	1	0	0	1	1	stylevar
  2	2	0	0	2	1	tabrow
  3	1	0	1	3	1	try
  1	1	0	0	1	1	url
  1	0	0	0	1	1	usage
  1	0	0	0	1	1	usageline
  1	1	0	0	1	1	value
  2	1	0	0	2	1	var
  2	1	0	1	2	1	vars
  2	2	0	0	1	1	verbatimLine
  1	1	0	1	1	20	wantListOrObject
