  H	>	-	<	d	s	name
  2	1	1	1	2	0	DOC
  1	1	0	0	1	1	artline
  1	1	0	0	1	1	ascii-art
  1	1	0	0	1	1	code
  2	2	0	0	2	1	coderow
  2	2	0	1	2	1	defitem
  2	2	0	0	2	1	emptyfreetextline
  1	1	1	1	1	1	enumitem
  2	1	1	0	2	1	freetextOrSection
  1	1	0	0	1	2	ignore
  1	1	0	0	1	1	ignored
  2	2	0	0	2	1	label
  1	1	1	1	1	1	listline
  1	1	0	1	1	1	meta
  2	2	0	0	2	1	metaname
  1	1	0	0	1	1	nativeLangCode
  1	1	0	0	1	1	other code
  1	1	0	1	1	1	picture
  2	2	0	1	1	0	section
  2	1	0	1	1	1	style
  1	1	0	1	1	5	style_controlled
  1	1	0	0	1	3	style_controlled_simple
  1	1	0	0	1	1	stylecomment
  1	1	0	0	1	1	stylevar
  2	2	0	0	2	1	tabrow
  1	1	0	0	1	1	tex code
  1	1	0	0	1	1	url
  1	1	0	0	1	1	value
  2	2	0	0	1	1	verbatimLine
