  H	>	-	<	d	s	name
  1	1	0	1	0	2	Action
  1	1	0	1	0	1	ArrayName
  1	1	0	1	0	0	DOC
  0	0	0	0	0	1	EMPTY
  1	1	0	1	0	1	FLUSH
  0	0	0	0	0	1	OPTIONS
  1	1	0	0	0	0	Special
  1	1	0	0	0	1	USAGE
  1	1	0	0	0	1	VERSION
  0	0	0	0	0	1	actions
  1	1	0	0	0	3	atmark
  1	1	0	0	0	3	call
  1	1	0	0	0	2	doc_line
  1	1	0	0	0	3	empty out line
  1	1	0	1	0	1	group
  1	1	0	0	0	2	group_item
  1	1	0	0	0	1	group_name
  1	0	0	0	0	1	here text
  1	1	0	0	0	1	here text line
  0	0	0	0	0	1	hooks
  1	1	0	0	0	3	inside_call
  1	1	0	0	0	2	l
  1	1	0	0	0	1	longdesc
  1	0	0	0	0	0	mark_ATTICREAD
  1	0	0	0	0	0	mark_BEGIN
  1	0	0	0	0	0	mark_NEWFILE
  1	0	0	0	0	0	mark_READ
  1	0	0	0	0	0	mark_SPLITAPPLY
  1	0	0	0	0	0	mark_WRITE
  1	0	0	0	0	0	mark_actions
  1	0	0	0	0	0	mark_flush
  1	0	0	0	0	0	mark_here
  1	0	0	0	0	0	mark_hooks
  1	0	0	0	0	0	mark_setOptions
  1	0	0	0	0	0	mark_showOptions
  1	0	0	0	0	0	mark_showVersion
  1	0	0	0	0	0	mark_usage
  1	1	0	1	0	1	option
  1	1	0	0	0	3	out line
  1	1	0	1	0	2	pit
  1	1	0	1	0	2	shortdesc
  1	1	0	1	0	1	special
  1	1	0	0	0	3	stacked_call
  1	1	0	0	0	4	stmt
  1	1	0	1	0	1	structure
  1	1	0	1	0	1	structure_item
  1	1	0	0	0	1	untie
  1	1	0	0	0	1	usageline
